,index,rounds,player1,player2
0,0,round_of_64_0,Prasham Narayan_blue,qualifiers_8
1,1,round_of_64_1,Sudhansh Sharma_red,qualifiers_10
2,2,round_of_64_2,Vinod J M_blue,Krishna Singh_black
3,3,round_of_64_3,Abhishek I_red,Mayur_white
4,4,round_of_64_4,Apurv Singhal_blue,John Bose_black
5,5,round_of_64_5,Aashish_red,Manoj_white
6,6,round_of_64_6,Chandan_blue,Purushottam_black
7,7,round_of_64_7,Jayraj Goyal_red,Santhosh Kumar N_white
8,8,round_of_64_8,Sanyam Sood_blue,Sandeep Kapoor_black
9,9,round_of_64_9,qualifiers_0,Gotham_white
10,10,round_of_64_10,Harish Kumar B V_blue,Shailendra K Yadav_black
11,11,round_of_64_11,qualifiers_2,ShashankIaiswal_white
12,12,round_of_64_12,Vinay Gundurao_blue,Swastik_black
13,13,round_of_64_13,qualifiers_4,Raaghav_white
14,14,round_of_64_14,Amit Kumar Maharana_blue,Dayanand G_black
15,15,round_of_64_15,qualifiers_6,Ahan_white
16,16,round_of_64_16,Spandan_red,qualifiers_11
17,17,round_of_64_17,Kshitij Choudhary_blue,qualifiers_7
18,18,round_of_64_18,China_red,qualifiers_9
19,19,round_of_64_19,GP_blue,Achyuth_black
20,20,round_of_64_20,Bhuvanesh MD_red,Natarajan_white
21,21,round_of_64_21,Harish Ashokkumar_blue,Vivek Mishra_black
22,22,round_of_64_22,Rishabh Dev Shukla_red,Bharat S_white
23,23,round_of_64_23,Aashish Raj_blue,Pankaj lakhwan_black
24,24,round_of_64_24,Aditya Saxena_red,Abhishek Garhia_white
25,25,round_of_64_25,Shubh Mehrotra_blue,Parikshith C_black
26,26,round_of_64_26,qualifiers_1,Mohan Krishna_white
27,27,round_of_64_27,Sahil Sikarwar_blue,Mihir Narayan_black
28,28,round_of_64_28,qualifiers_3,Srujan chinthala_white
29,29,round_of_64_29,Bharath B S_blue,Vishy_black
30,30,round_of_64_30,qualifiers_5,Praveen_white
31,31,round_of_64_31,Abhishek Rajan_blue,Krishna Chaitanya (KC)_black
